#       flow   flowType   src   dst            time         throughput

           0        tcp     5     0         1.04729            317.158
           0        tcp     5     0         2.05049            677.836
           0        tcp     5     0         3.05405            1331.25
           0        tcp     5     0           4.058            1442.31
           0        tcp     5     0         5.06195            1442.31
           0        tcp     5     0          6.0659            1442.31
           0        tcp     5     0         7.06984            1442.31
           0        tcp     5     0         8.07379            1442.31
           0        tcp     5     0         9.07774            1442.31
           0        tcp     5     0         10.0817            1442.31
           0        tcp     5     0         11.0856            1442.31
           0        tcp     5     0         12.0896            1442.31
           0        tcp     5     0         13.0935            1442.31
           0        tcp     5     0         14.0975            1442.31
           0        tcp     5     0         15.1014            1442.31
           0        tcp     5     0         16.1054            1442.31
           0        tcp     5     0         17.1093            1442.31
           0        tcp     5     0         18.1133            1442.31
           0        tcp     5     0         19.1172            1442.31
           0        tcp     5     0         20.1211            1442.31
           0        tcp     5     0         21.1251            1442.31
           0        tcp     5     0          22.129            1442.31
           0        tcp     5     0          23.133            1442.31
           0        tcp     5     0         24.1369            1442.31
           0        tcp     5     0         25.1409            1442.31
           0        tcp     5     0         26.1448            1442.31
           0        tcp     5     0         27.1488            1442.31
           0        tcp     5     0         28.1527            1442.31
           0        tcp     5     0         29.1567            1442.31
           0        tcp     5     0         30.1606            1442.31
           0        tcp     5     0         31.1646            1442.31
           0        tcp     5     0         32.1685            1442.31
           0        tcp     5     0         33.1725            1442.31
           0        tcp     5     0         34.1764            1442.31
           0        tcp     5     0         35.1803            1442.31
           0        tcp     5     0         36.1843            1442.31
           0        tcp     5     0         37.1882            1442.31
           0        tcp     5     0         38.1922            1442.31
           0        tcp     5     0         39.1961            1442.31
           0        tcp     5     0         40.2001            1442.31
           0        tcp     5     0          41.204            1442.31
           0        tcp     5     0          42.208            1442.31
           0        tcp     5     0         43.2119            1442.31
           0        tcp     5     0         44.2159            1442.31
           0        tcp     5     0         45.2198            1442.31
           0        tcp     5     0         46.2238            1442.31
           0        tcp     5     0         47.2277            1442.31
           0        tcp     5     0         48.2317            1442.31
           0        tcp     5     0         49.2356            1442.31
           0        tcp     5     0         50.2395            1442.31
           0        tcp     5     0         51.2435            1442.31
           0        tcp     5     0         52.2474            1442.31
           0        tcp     5     0         53.2514            1442.31
           0        tcp     5     0         54.2553            1442.31
           0        tcp     5     0         55.2593            1442.31
           0        tcp     5     0         56.2632            1442.31
           0        tcp     5     0         57.2672            1442.31
           0        tcp     5     0         58.2711            1442.31
           0        tcp     5     0         59.2751            1442.31


