#       flow   flowType   src   dst            time         throughput

           2        cbr     6     1         1.01311                  0
           2        cbr     6     1         29.0458                  0
           2        cbr     6     1         30.0458           0.266377
           2        cbr     6     1         31.0469               1750
           2        cbr     6     1          32.048               1750
           2        cbr     6     1         33.0492               1750
           2        cbr     6     1         34.0503               1750
           2        cbr     6     1         35.0515               1750
           2        cbr     6     1         36.0526               1750
           2        cbr     6     1         37.0538               1750
           2        cbr     6     1         38.0549               1750
           2        cbr     6     1          39.056               1750
           2        cbr     6     1         40.0572               1750
           2        cbr     6     1         41.0583               1750
           2        cbr     6     1         42.0595               1750
           2        cbr     6     1         43.0606               1750
           2        cbr     6     1         44.0618               1750
           2        cbr     6     1         45.0622            1743.16
           2        cbr     6     1          46.064            1732.88
           2        cbr     6     1         47.0676            1745.82
           2        cbr     6     1         48.0694            1748.86
           2        cbr     6     1         49.0751            1726.14
           2        cbr     6     1         50.0778            1747.34
           2        cbr     6     1          51.079            1741.89
           2        cbr     6     1         52.0829            1737.22
           2        cbr     6     1         53.0859            1754.74
           2        cbr     6     1          54.086            1751.78
           2        cbr     6     1         55.0918            1749.87
           2        cbr     6     1         56.0928            1758.13
           2        cbr     6     1         57.0953            1739.81
           2        cbr     6     1         58.0956            1759.42
           2        cbr     6     1         59.0978            1748.07


