#       flow   flowType   src   dst            time         throughput

           2        tcp     6     1         1.01311                  0
           2        tcp     6     1          29.117                  0
           2        tcp     6     1          30.117           0.265746
           2        tcp     6     1         31.1174            1535.41
           2        tcp     6     1           32.12            1923.08
           2        tcp     6     1         33.1228             1914.7
           2        tcp     6     1         34.1239               1750
           2        tcp     6     1          35.125               1750
           2        tcp     6     1         36.1262               1750
           2        tcp     6     1         37.1273               1750
           2        tcp     6     1         38.1285               1750
           2        tcp     6     1         39.1296               1750
           2        tcp     6     1         40.1308               1750
           2        tcp     6     1         41.1319               1750
           2        tcp     6     1          42.133               1750
           2        tcp     6     1         43.1342               1750
           2        tcp     6     1         44.1353               1750
           2        tcp     6     1         45.1395            1712.91
           2        tcp     6     1          46.143            430.499
           2        tcp     6     1         47.1723            1220.17
           2        tcp     6     1         48.1742            1357.49
           2        tcp     6     1         49.1774            1267.91
           2        tcp     6     1         50.1796            925.944
           2        tcp     6     1         51.1829            821.274
           2        tcp     6     1         52.1849            1021.99
           2        tcp     6     1          53.185            1711.88
           2        tcp     6     1         54.2076            1517.66
           2        tcp     6     1         55.2077            1527.84
           2        tcp     6     1         56.2135            1853.27
           2        tcp     6     1         57.2135            1303.94
           2        tcp     6     1         58.2154            806.508
           2        tcp     6     1         59.2164            863.121
           2        tcp     6     1         60.2523            834.025
           2        tcp     6     1         61.2525            791.854
           2        tcp     6     1          62.256            1666.17
           2        tcp     6     1         63.2586            1795.39
           2        tcp     6     1         64.2606             1780.5
           2        tcp     6     1         65.2609            1551.52
           2        tcp     6     1         66.2616            1167.19
           2        tcp     6     1         67.2626            1486.42
           2        tcp     6     1         68.2662            1833.43
           2        tcp     6     1         69.2687            1771.57
           2        tcp     6     1         70.2713            1260.78
           2        tcp     6     1         71.2739            1204.84
           2        tcp     6     1         72.2744            1791.15
           2        tcp     6     1         73.2785            1784.69
           2        tcp     6     1         74.2909            1446.08
           2        tcp     6     1         75.2992            1166.22
           2        tcp     6     1         76.3024            1610.84
           2        tcp     6     1         77.3035            1814.17
           2        tcp     6     1         78.3111            1770.41
           2        tcp     6     1         79.3128             1229.9
           2        tcp     6     1         80.3146            1213.83
           2        tcp     6     1         81.3155            1822.46
           2        tcp     6     1         82.3191            1785.52
           2        tcp     6     1         83.3241            1369.16
           2        tcp     6     1         84.3272            1180.34
           2        tcp     6     1         85.3296            1676.01
           2        tcp     6     1         86.3329               1794
           2        tcp     6     1         87.3928            1637.97
           2        tcp     6     1         88.4045            1162.41
           2        tcp     6     1         89.4057            1406.24
           2        tcp     6     1         90.4061            1847.21
           2        tcp     6     1         91.4065            1775.32
           2        tcp     6     1         92.4082            1293.79
           2        tcp     6     1         93.4091            1191.02
           2        tcp     6     1          94.415            1757.48
           2        tcp     6     1          95.417            1788.48
           2        tcp     6     1          96.421            1553.77
           2        tcp     6     1         97.4236            1173.02
           2        tcp     6     1         98.4236            1479.93
           2        tcp     6     1          99.426            1835.63


